iter	RMSE
129	22750.15789
130	22721.24755
131	22682.97779
132	22635.50184
133	22614.64387
134	22587.25426
135	22542.81956
136	22497.01758
137	22470.94368
138	22436.09213
139	22399.32325
140	22376.82281
141	22336.217
142	22301.49938
143	22266.9712
144	22233.17438
145	22204.26594
146	22174.16746
147	22151.09815
148	22120.79652
149	22097.74203
150	22068.99983
151	22041.37734
152	22013.75872
153	21992.49813
154	21959.16708
155	21938.44742
156	21912.56279
157	21885.87244
158	21858.07942
159	21832.95898
160	21809.31796
161	21769.56099
162	21716.74002
163	21690.60517
164	21662.68064
165	21631.864
166	21605.71255
167	21544.08861
168	21516.95436
169	21484.63705
170	21467.17364
171	21442.06644
172	21417.23312
173	21388.83627
174	21352.338
175	21332.02165
176	21287.352
177	21269.13678
178	21241.09503
179	21203.92472
180	21175.38173
181	21142.07099
182	21109.58144
183	21062.68266
184	21036.87741
185	21018.70228
186	20987.96372
187	20968.4856
188	20945.33613
189	20925.55884
190	20883.23365
191	20852.42364
192	20821.4807
193	20791.14746
194	20774.36516
195	20746.04149
196	20725.67363
197	20705.73329
198	20673.6683
199	20645.6166
200	20610.55435
201	20566.53442
202	20542.64139
203	20515.87157
204	20491.14358
205	20456.06073
206	20432.516
207	20399.56236
208	20380.26526
209	20344.04017
210	20308.84764
211	20289.20249
212	20260.10167
213	20218.36588
214	20189.2589
215	20167.61987
216	20139.48543
217	20115.30055
218	20095.36778
219	20082.21697
220	20058.32705
221	20038.48039
222	20007.53715
223	19989.87336
224	19965.64424
225	19942.12699
226	19914.78061
227	19882.14811
228	19856.61388
229	19830.32706
230	19810.85124
231	19784.41157
232	19771.19442
233	19753.42592
234	19734.53083
235	19705.35305
236	19678.54334
237	19637.07075
238	19599.75382
239	19577.84003
240	19552.0513
241	19519.40674
242	19496.92132
243	19484.82494
244	19456.49802
245	19425.49695
246	19406.28131
247	19388.79593
248	19357.6067
249	19330.13347
250	19315.01725
251	19289.61566
252	19260.4868
253	19243.22781
254	19226.06881
255	19207.59246
256	19187.38428
257	19168.13933
258	19147.53163
259	19124.69145
260	19097.24909
261	19071.11917
262	19049.94822
263	19025.01103
264	19012.50623
265	18996.43006
266	18978.50501
267	18954.90945
268	18941.44115
269	18924.25426
270	18910.57347
271	18893.8973
272	18877.66785
273	18854.36763
274	18836.58805
275	18811.24518
276	18789.91121
277	18766.37925
278	18748.37983
279	18718.99474
280	18697.07748
281	18679.3765
282	18671.50577
283	18651.54528
284	18635.81562
285	18611.86654
286	18579.50086
287	18561.52407
288	18543.67465
289	18535.83103
290	18508.23947
291	18479.16503
292	18455.15185
293	18437.36953
294	18420.15117
295	18404.53788
296	18387.65025
297	18356.3009
298	18349.31604
299	18328.05386
300	18303.10458
301	18276.67449
302	18258.34834
303	18247.25221
304	18241.9169
305	18228.7839
306	18215.82228
307	18196.53218
308	18167.36854
309	18154.86803
310	18137.33004
311	18107.95108
312	18102.86152
313	18084.88288
314	18079.72554
315	18063.38126
316	18049.74537
317	18028.04126
318	18023.21368
319	18019.19225
320	18015.97519
321	18008.37633
322	17999.22132
323	17980.00746
324	17960.81549
325	17934.55223
326	17917.10501
327	17888.43631
328	17870.32368
329	17858.02208
330	17850.27075
331	17836.26539
332	17819.83487
333	17790.01277
334	17787.1766
335	17771.04734
336	17760.04773
337	17741.83351
338	17727.8942
339	17716.49837
340	17691.99551
341	17675.21964
342	17658.28345
343	17642.02208
344	17616.70101
345	17600.15473
346	17585.1736
347	17571.9547
348	17548.38712
349	17541.82176
350	17527.18547
351	17515.62469
352	17505.7688
353	17500.39595
354	17476.67832
355	17451.01851
356	17438.17517
357	17425.81862
358	17411.14774
359	17384.48629
360	17365.84535
361	17349.37605
362	17335.50802
363	17320.62815
364	17306.86407
365	17303.93248
366	17286.69435
367	17272.19592
368	17269.26449
369	17260.16328
370	17244.30069
371	17227.35608
372	17215.32704
373	17192.30469
374	17177.82406
375	17157.12593
376	17138.58076
377	17133.86756
378	17125.15668
379	17102.16717
380	17092.15338
381	17068.21457
382	17056.685
383	17033.5235
384	17018.05893
385	16995.51396
386	16987.06587
387	16975.77315
388	16956.81421
389	16929.4959
390	16915.03635
391	16912.59364
392	16893.05085
393	16873.26012
394	16858.8487
395	16835.24295
396	16813.56498
397	16804.26341
398	16788.85492
399	16764.048
400	16761.14008
401	16741.52072
402	16716.67445
403	16698.92388
404	16689.01935
405	16669.36125
406	16656.06415
407	16644.37631
408	16618.89364
409	16599.28494
410	16578.03184
411	16550.57199
412	16539.40181
413	16523.22901
414	16510.13707
415	16498.30854
416	16471.79978
417	16451.91884
418	16450.59818
419	16426.06543
420	16412.35167
421	16399.80478
422	16393.03401
423	16376.53938
424	16359.45867
425	16344.3408
426	16336.58469
427	16323.70223
428	16302.30669
429	16287.03076
430	16268.30071
431	16248.44293
432	16223.05983
433	16211.46671
434	16196.44604
435	16178.74021
436	16159.85083
437	16146.6967
438	16122.84226
439	16109.18663
440	16101.49921
441	16078.60873
442	16057.938
443	16040.32009
444	16030.03714
445	16017.03862
446	16010.67916
447	16001.59802
448	15988.7956
449	15986.41133
450	15963.6277
451	15960.207
452	15943.50393
453	15928.59271
454	15914.30443
455	15907.93007
456	15878.92055
457	15864.86679
458	15849.10923
459	15842.84209
460	15827.9833
461	15815.68517
462	15798.63107
463	15784.70747
464	15763.41766
465	15751.76074
466	15737.70865
467	15726.05031
468	15710.02187
469	15699.07318
470	15690.54039
471	15669.0794
472	15655.77683
473	15634.64208
474	15627.1413
475	15618.38905
476	15615.24185
477	15601.10964
478	15591.09185
479	15569.90112
480	15561.18393
481	15548.1886
482	15530.42208
483	15520.28571
484	15506.68532
485	15479.74666
486	15468.11108
487	15455.79092
488	15437.25774
489	15432.27949
490	15412.75767
491	15397.58195
492	15384.107
493	15369.27648
494	15364.56989
495	15360.97222
496	15350.74297
497	15342.77254
498	15331.58335
499	15307.18595
500	15288.32524
501	15276.35692
502	15266.73589
503	15256.6509
504	15249.56864
505	15233.79517
506	15208.32584
507	15195.47242
508	15187.53827
509	15186.59613
510	15178.43491
511	15164.05753
512	15159.55255
513	15151.5018
514	15146.18047
515	15141.96745
516	15127.46156
517	15110.41521
518	15097.05572
519	15090.33481
520	15067.71402
521	15058.45671
522	15048.82489
523	15033.68211
524	15023.45283
525	15006.88722
526	14995.32337
527	14984.85924
528	14975.77217
529	14969.9244
530	14958.25501
531	14957.00958
532	14944.2911
533	14932.10482
534	14926.86091
535	14913.2762
536	14894.72116
537	14883.80923
538	14862.88498
539	14851.45462
540	14840.77608
541	14822.27394
542	14805.42998
543	14802.1341
544	14791.70583
545	14787.84748
546	14781.58447
547	14772.11592
548	14768.38293
549	14764.62291
550	14756.02278
551	14742.54943
552	14731.10095
553	14720.42988
554	14714.84249
555	14704.89212
556	14690.07668
557	14680.29843
558	14679.35111
559	14669.07948
560	14659.93792
561	14650.54698
562	14641.99817
563	14630.24463
564	14613.56744
565	14600.28009
566	14589.13978
567	14575.88739
568	14567.11764
569	14551.31134
570	14541.35913
571	14525.73166
572	14512.85763
573	14502.85982
574	14501.95277
575	14487.98702
576	14473.32975
577	14460.12888
578	14453.47831
579	14447.14412
580	14433.66713
581	14425.05615
582	14411.76739
583	14402.47241
584	14398.70755
585	14394.79352
586	14392.83112
587	14378.345
588	14377.51293
589	14362.89137
590	14341.72021
591	14337.85106
592	14326.91109
593	14320.51157
594	14315.58366
595	14303.45666
596	14294.40272
597	14281.7151
598	14279.94926
599	14270.56178
600	14266.51825
601	14254.98735
602	14246.74846
603	14231.28105
604	14213.84064
605	14212.19203
606	14204.28969
607	14195.03753
608	14184.57513
609	14168.47422
610	14153.31979
611	14144.73119
612	14129.86913
613	14110.76702
614	14098.90412
615	14089.00692
616	14079.51768
617	14074.13507
618	14061.81065
619	14047.90719
620	14038.03352
621	14029.21802
622	14022.3849
623	14016.72355
624	14005.81715
625	13992.3658
626	13984.15168
627	13968.82367
628	13959.1815
629	13951.75174
630	13943.38639
631	13936.91968
632	13926.6657
633	13916.22704
634	13906.68675
635	13898.49146
636	13886.76172
637	13878.14105
638	13874.85964
639	13862.20717
640	13855.37111
641	13840.4203
642	13834.48912
643	13819.67497
644	13802.29445
645	13796.79799
646	13790.9975
647	13779.80326
648	13769.86639
649	13762.0368
650	13745.763
651	13744.67152
652	13727.23199
653	13715.96474
654	13712.68509
655	13705.20299
656	13700.86664
657	13694.42702
658	13688.51828
659	13682.95771
660	13682.27314
661	13674.85681
662	13668.54094
663	13667.06536
664	13661.62418
665	13660.91242
666	13655.19469
667	13640.24065
668	13631.92796
669	13625.84784
670	13616.19061
671	13605.47377
672	13590.7204
673	13582.77472
674	13579.13716
675	13573.4972
676	13572.96141
677	13567.27673
678	13555.06815
679	13546.52332
680	13528.20914
681	13520.10365
682	13508.32299
683	13507.0864
684	13488.30407
685	13486.35634
686	13475.41534
687	13465.6455
688	13461.19093
689	13446.47159
690	13438.44557
691	13426.38857
692	13417.49729
693	13410.68056
694	13398.56339
695	13385.69924
696	13384.19632
697	13366.34782
698	13352.53353
699	13351.5852
700	13335.58686
701	13324.38764
702	13314.14203
703	13308.40386
704	13300.35857
705	13297.29679
706	13283.63611
707	13273.64658
708	13267.29342
709	13264.41518
710	13255.5352
711	13249.45915
712	13240.96147
713	13232.51356
714	13221.55502
715	13206.08797
716	13191.60905
717	13176.6801
718	13161.78951
719	13152.86914
720	13148.60588
721	13140.46567
722	13125.97664
723	13114.71112
724	13104.33492
725	13098.17359
726	13093.31998
727	13085.63477
728	13080.09851
729	13072.50512
730	13065.79606
731	13058.43549
732	13053.1041
733	13042.06508
734	13032.47334
735	13023.24805
736	13010.51602
737	12998.67866
738	12990.91973
739	12985.36591
740	12978.2661
741	12971.17049
742	12958.98175
743	12950.21403
744	12942.811
745	12933.2804
746	12928.93728
747	12917.53009
748	12912.51745
749	12911.52094
750	12910.57152
751	12904.97831
752	12895.31484
753	12893.45917
754	12884.87838
755	12873.90542
756	12868.10542
757	12854.80316
758	12847.49137
759	12832.9662
760	12825.81499
761	12821.49677
762	12809.69317
763	12800.14894
764	12793.02561
765	12786.65505
766	12775.90758
767	12770.01772
768	12757.73454
769	12749.69315
770	12744.29171
771	12731.67265
772	12720.72372
773	12713.22871
774	12710.00052
775	12700.88806
776	12691.027
777	12684.69233
778	12678.05278
779	12661.23756
780	12654.37552
781	12649.46425
782	12641.84306
783	12633.01037
784	12621.48275
785	12609.19762
786	12602.64611
787	12595.31659
788	12582.8837
789	12581.21279
790	12572.02765
791	12563.54825
792	12558.89845
793	12551.10882
794	12541.88443
795	12531.58209
796	12515.40215
797	12510.97783
798	12497.23757
799	12492.75021
800	12485.32502
801	12477.24999
802	12467.12875
803	12462.70641
804	12451.18052
805	12440.80207
806	12438.20537
807	12429.8437
808	12425.51844
809	12419.44564
810	12416.83148
811	12408.8869
812	12406.90739
813	12397.64052
814	12393.49402
815	12385.49909
816	12377.46953
817	12367.47682
818	12363.56179
819	12353.9034
820	12337.28932
821	12329.14056
822	12322.41469
823	12317.99521
824	12310.71482
825	12305.40367
826	12299.38933
827	12290.04102
828	12284.01736
829	12280.52055
830	12274.28244
831	12269.11717
832	12260.94919
833	12249.66475
834	12237.24734
835	12236.72109
836	12219.57111
837	12205.6329
838	12197.25277
839	12191.5229
840	12183.79635
841	12181.40642
842	12174.80475
843	12173.41773
844	12168.42701
845	12162.61826
846	12154.73638
847	12149.1678
848	12140.90072
849	12133.42935
850	12128.5176
851	12118.37709
852	12115.55257
853	12109.12049
854	12104.46856
855	12091.52204
856	12081.00046
857	12079.37082
858	12073.81547
859	12068.67818
860	12061.86338
861	12049.42605
862	12045.40669
863	12037.38601
864	12028.05897
865	12023.07598
866	12019.5793
867	12014.11791
868	12004.53997
869	11995.77208
870	11991.36585
871	11980.78438
872	11976.14289
873	11967.30623
874	11964.06804
875	11962.65872
876	11954.43639
877	11942.84415
878	11941.50694
879	11932.44714
880	11926.24223
881	11918.78386
882	11912.44591
883	11903.96071
884	11898.95788
885	11894.0186
886	11885.84347
887	11875.69859
888	11868.70005
889	11861.96766
890	11851.88075
891	11847.80389
892	11841.18049
893	11833.24979
894	11826.95333
895	11820.3575
896	11809.23228
897	11793.86173
898	11783.0965
899	11779.28085
900	11772.76333
901	11759.84944
902	11747.96942
903	11744.97675
904	11736.18569
905	11728.98843
906	11722.58584
907	11715.15388
908	11707.27672
909	11701.0466
910	11691.80673
911	11681.83065
912	11681.48974
913	11677.07408
914	11674.51584
915	11673.37207
916	11659.2557
917	11653.56
918	11647.20289
919	11635.39435
920	11630.16321
921	11620.11161
922	11613.24102
923	11605.36907
924	11598.58633
925	11591.84009
926	11581.93698
927	11574.11519
928	11568.90192
929	11562.24794
930	11560.26642
931	11547.06595
932	11544.52341
933	11535.7912
934	11531.5187
935	11520.01611
936	11510.77902
937	11499.28708
938	11493.21947
939	11488.10495
940	11484.93308
941	11476.14871
942	11469.55421
943	11464.43657
944	11457.77663
945	11448.63476
946	11442.83151
947	11431.58576
948	11427.13414
949	11421.37073
950	11417.28414
951	11414.77304
952	11406.69742
953	11402.11985
954	11392.24771
955	11383.88035
956	11375.623
957	11371.91105
958	11362.41212
959	11356.01134
960	11354.717
961	11348.04157
962	11342.98612
963	11333.42607
964	11330.58435
965	11322.95844
966	11322.18454
967	11318.32433
968	11311.09511
969	11301.5098
970	11296.33554
971	11290.20425
972	11282.71861
973	11278.38394
974	11273.04364
975	11262.6772
976	11261.50909
977	11256.38554
978	11252.02202
979	11243.7691
980	11232.45766
981	11227.45892
982	11218.45891
983	11208.88295
984	11207.44726
985	11197.9367
986	11191.66058
987	11188.60176
988	11181.36544
989	11179.06298
990	11173.3437
991	11166.47945
992	11162.71744
993	11157.55356
994	11152.80608
995	11149.18701
996	11143.86882
997	11140.87765
998	11133.42431
999	11131.81259
